# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,agent_status,agent_code,agent_duration,check_desc,agent_desc,check_rise,check_fall,check_health,agent_rise,agent_fall,agent_health,addr,cookie,mode,algo,conn_rate,conn_rate_max,conn_tot,intercepted,dcon,dses,
http_backend_backend_pd,BACKEND,0,0,0,1,1800,1,456,236,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,32,0,,1,,1,0,,1,,,,0,1,0,0,0,0,,,,1,0,0,0,0,0,0,1209291,,,0,0,1,1,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_sch,frontA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,23,23,150509,796,,1,33,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11225,,http,,,,,,,,
http_backend_backend_sch,frontB.server,0,0,0,1,,1,458,236,,0,,0,0,0,0,UP,1,1,0,21,21,150660,60,,1,33,2,,1,,2,0,,1,L7OK,200,1,0,1,0,0,0,0,,,,,0,0,,,,,1209290,HTTP content check matched,,0,0,1,1,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11225,,http,,,,,,,,
http_backend_backend_sch,BACKEND,0,0,0,1,1800,1,458,236,0,0,,0,0,0,0,UP,2,2,0,,4,172242,6424,,1,33,0,,1,,1,0,,1,,,,0,1,0,0,0,0,,,,1,0,0,0,0,0,0,1209290,,,0,0,1,1,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_sta,frontA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,3,3,583858,738,,1,34,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:12025,,http,,,,,,,,
http_backend_backend_sta,frontB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,2,2,583197,7,,1,34,2,,0,,2,0,,0,L7OK,200,6,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:12025,,http,,,,,,,,
http_backend_backend_sta,BACKEND,0,0,0,0,900,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,34,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_uuu,frontA.server,0,0,0,1,,1,459,143,,0,,0,0,0,0,UP,1,1,0,6,6,583384,754,,1,35,1,,1,,2,0,,1,L7OK,200,2,0,1,0,0,0,0,,,,,0,0,,,,,1209290,HTTP content check matched,,0,1,1,1,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11105,,http,,,,,,,,
http_backend_backend_uuu,frontB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,6,6,582720,86,,1,35,2,,0,,2,0,,0,L7OK,200,2,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11105,,http,,,,,,,,
http_backend_backend_uuu,BACKEND,0,0,0,1,1800,1,459,143,0,0,,0,0,0,0,UP,2,2,0,,1,753533,28,,1,35,0,,1,,1,0,,1,,,,0,1,0,0,0,0,,,,1,0,0,0,0,0,0,1209290,,,0,1,1,1,,,,,,,,,,,,,,http,roundrobin,,,,,,,
